,TOTAL_VALUE,LAND_VALUE,BUILDING_VALUE,GROSS_AREA,LOT_SIZE,PRICE_PER_SQFT,BUILDING_AGE,DISTANCE_TO_RED_LINE,TRANSIT_ACCESSIBILITY,INVESTMENT_SCORE,VALUE_PER_LOT_SQFT,BUILDING_TO_LOT_RATIO
TOTAL_VALUE,1.0,0.022284616658133506,0.9665262867457863,0.06964982783862649,-0.00016834248155260504,0.5652760572348257,-0.08207602596826766,0.03882539799972398,-0.038825397999724016,0.29910116547788695,0.5263171759110336,0.03652593368399777
LAND_VALUE,0.022284616658133506,1.0,-0.17702585570328316,0.03823043873274502,0.022854050666817737,0.0009376164485188798,-0.03432352623562188,0.013008276122850406,-0.01300827612285038,0.020494760570092002,0.09077811925953748,0.013091439440572923
BUILDING_VALUE,0.9665262867457863,-0.17702585570328316,1.0,0.05494852196979731,-0.0024945306925670276,0.5430628934552301,-0.06873784527171237,0.03525461224821169,-0.035254612248211636,0.2828090683403483,0.5000298402124563,0.028537375922454138
GROSS_AREA,0.06964982783862649,0.03823043873274502,0.05494852196979731,1.0,0.01711937001847761,-0.42604384486339064,0.07275566465275334,0.08717138005133762,-0.08717138005133769,-0.28827270799313326,-0.01593254346871171,0.609694864049406
LOT_SIZE,-0.00016834248155260504,0.022854050666817737,-0.0024945306925670276,0.01711937001847761,1.0,0.002191225209794307,0.028704032226148434,0.0781563610047189,-0.07815636100471889,-0.05696007806872537,-0.2943378331982169,-0.3871969327185967
PRICE_PER_SQFT,0.5652760572348257,0.0009376164485188798,0.5430628934552301,-0.42604384486339064,0.002191225209794307,1.0,-0.14360393748545677,-0.012197924453653685,0.012197924453653732,0.6007550769413964,0.3889165975160767,-0.26955948918982403
BUILDING_AGE,-0.08207602596826766,-0.03432352623562188,-0.06873784527171237,0.07275566465275334,0.028704032226148434,-0.14360393748545677,1.0,-0.07514558418856054,0.07514558418856054,-0.5925652845818314,-0.07627951295637075,-0.012581900675862283
DISTANCE_TO_RED_LINE,0.03882539799972398,0.013008276122850406,0.03525461224821169,0.08717138005133762,0.0781563610047189,-0.012197924453653685,-0.07514558418856054,1.0,-0.9999999999999999,-0.5324025417850449,-0.020648265351252273,0.03711124297727621
TRANSIT_ACCESSIBILITY,-0.038825397999724016,-0.01300827612285038,-0.035254612248211636,-0.08717138005133769,-0.07815636100471889,0.012197924453653732,0.07514558418856054,-0.9999999999999999,1.0,0.5324025417850456,0.020648265351252117,-0.037111242977276325
INVESTMENT_SCORE,0.29910116547788695,0.020494760570092002,0.2828090683403483,-0.28827270799313326,-0.05696007806872537,0.6007550769413964,-0.5925652845818314,-0.5324025417850449,0.5324025417850456,1.0,0.30195987089152954,-0.13604188941973888
VALUE_PER_LOT_SQFT,0.5263171759110336,0.09077811925953748,0.5000298402124563,-0.01593254346871171,-0.2943378331982169,0.3889165975160767,-0.07627951295637075,-0.020648265351252273,0.020648265351252117,0.30195987089152954,1.0,0.2782261697398775
BUILDING_TO_LOT_RATIO,0.03652593368399777,0.013091439440572923,0.028537375922454138,0.609694864049406,-0.3871969327185967,-0.26955948918982403,-0.012581900675862283,0.03711124297727621,-0.037111242977276325,-0.13604188941973888,0.2782261697398775,1.0
